Wavelength_nm,Raw_Counts,Display_Value
412.8725,1123.01,1123.0091
413.1900,1124.19,1124.1910
413.5076,1123.94,1123.9398
413.8251,1123.96,1123.9616
414.1426,1123.90,1123.8978
414.4602,1124.16,1124.1575
414.7777,1123.76,1123.7571
415.0953,1124.58,1124.5810
415.4128,1123.61,1123.6109
415.7303,1124.64,1124.6416
416.0479,1124.51,1124.5110
416.3654,1123.97,1123.9712
416.6830,1125.14,1125.1410
417.0005,1125.09,1125.0929
417.3180,1124.73,1124.7326
417.6356,1125.15,1125.1543
417.9531,1125.62,1125.6160
418.2706,1125.56,1125.5619
418.5882,1124.70,1124.6986
418.9057,1125.18,1125.1778
419.2233,1125.02,1125.0170
419.5408,1125.36,1125.3580
419.8583,1125.47,1125.4733
420.1759,1126.19,1126.1869
420.4934,1126.32,1126.3223
420.8109,1125.19,1125.1873
421.1285,1126.35,1126.3548
421.4460,1126.72,1126.7203
421.7636,1125.79,1125.7887
422.0811,1126.37,1126.3740
422.3986,1125.78,1125.7781
422.7162,1126.50,1126.5029
423.0337,1126.03,1126.0294
423.3512,1126.44,1126.4411
423.6688,1127.06,1127.0587
423.9863,1127.15,1127.1469
424.3039,1126.58,1126.5804
424.6214,1127.40,1127.4032
424.9389,1126.86,1126.8563
425.2565,1128.05,1128.0451
425.5740,1127.58,1127.5793
425.8915,1126.40,1126.3975
426.2091,1127.55,1127.5496
426.5266,1127.87,1127.8699
426.8442,1128.26,1128.2551
427.1617,1128.54,1128.5427
427.4792,1128.02,1128.0192
427.7968,1127.75,1127.7534
428.1143,1128.46,1128.4599
428.4319,1128.58,1128.5773
428.7494,1128.33,1128.3272
429.0669,1128.72,1128.7187
429.3845,1128.52,1128.5198
429.7020,1127.99,1127.9887
430.0195,1128.56,1128.5618
430.3371,1129.01,1129.0130
430.6546,1128.85,1128.8532
430.9722,1129.11,1129.1144
431.2897,1129.72,1129.7219
431.6072,1129.68,1129.6777
431.9248,1129.06,1129.0644
432.2423,1129.59,1129.5864
432.5598,1129.07,1129.0653
432.8774,1129.45,1129.4457
433.1949,1129.57,1129.5713
433.5125,1129.47,1129.4675
433.8300,1129.59,1129.5885
434.1475,1129.66,1129.6564
434.4651,1130.72,1130.7231
434.7826,1130.51,1130.5117
435.1001,1130.37,1130.3653
435.4177,1129.94,1129.9386
435.7352,1130.93,1130.9282
436.0528,1130.58,1130.5836
436.3703,1130.46,1130.4552
436.6878,1130.59,1130.5855
437.0054,1130.77,1130.7707
437.3229,1131.76,1131.7616
437.6404,1131.26,1131.2583
437.9580,1130.06,1130.0581
438.2755,1131.44,1131.4380
438.5931,1131.42,1131.4241
438.9106,1130.53,1130.5285
439.2281,1131.33,1131.3315
439.5457,1131.81,1131.8093
439.8632,1132.13,1132.1330
440.1808,1132.32,1132.3168
440.4983,1131.11,1131.1058
440.8158,1132.25,1132.2456
441.1334,1132.91,1132.9129
441.4509,1132.39,1132.3931
441.7684,1131.80,1131.7971
442.0860,1132.84,1132.8385
442.4035,1132.45,1132.4508
442.7211,1133.44,1133.4407
443.0386,1132.76,1132.7596
443.3561,1132.67,1132.6661
443.6737,1133.60,1133.6029
443.9912,1132.70,1132.6983
444.3087,1133.18,1133.1796
444.6263,1133.19,1133.1891
444.9438,1133.05,1133.0480
445.2614,1133.79,1133.7891
445.5789,1133.52,1133.5234
445.8964,1133.84,1133.8387
446.2140,1133.53,1133.5314
446.5315,1133.40,1133.3970
446.8490,1134.10,1134.1019
447.1666,1134.31,1134.3109
447.4841,1134.53,1134.5266
447.8017,1134.95,1134.9542
448.1192,1135.00,1135.0029
448.4367,1134.11,1134.1062
448.7543,1133.90,1133.9030
449.0718,1134.94,1134.9392
449.3894,1134.06,1134.0563
449.7069,1135.06,1135.0553
450.0244,1135.83,1135.8290
450.3420,1135.20,1135.1963
450.6595,1135.65,1135.6514
450.9770,1134.64,1134.6372
451.2946,1135.46,1135.4596
451.6121,1134.81,1134.8133
451.9297,1136.52,1136.5174
452.2472,1136.15,1136.1514
452.5647,1136.75,1136.7508
452.8823,1136.02,1136.0238
453.1998,1136.31,1136.3132
453.5173,1136.91,1136.9084
453.8349,1136.71,1136.7099
454.1524,1136.76,1136.7551
454.4700,1137.00,1136.9998
454.7875,1136.56,1136.5592
455.1050,1136.12,1136.1221
455.4226,1136.95,1136.9501
455.7401,1136.10,1136.1018
456.0576,1137.56,1137.5626
456.3752,1137.38,1137.3830
456.6927,1137.52,1137.5198
457.0103,1137.41,1137.4078
457.3278,1137.13,1137.1324
457.6453,1137.06,1137.0590
457.9629,1138.20,1138.1969
458.2804,1137.15,1137.1464
458.5979,1137.95,1137.9470
458.9155,1137.53,1137.5285
459.2330,1137.60,1137.6014
459.5506,1137.98,1137.9763
459.8681,1137.22,1137.2202
460.1856,1137.92,1137.9205
460.5032,1138.16,1138.1625
460.8207,1139.18,1139.1794
461.1383,1138.57,1138.5709
461.4558,1138.76,1138.7572
461.7733,1139.09,1139.0913
462.0909,1138.83,1138.8317
462.4084,1139.23,1139.2296
462.7259,1139.87,1139.8735
463.0435,1139.79,1139.7902
463.3610,1138.71,1138.7125
463.6786,1140.01,1140.0100
463.9961,1138.87,1138.8739
464.3136,1139.95,1139.9512
464.6312,1140.06,1140.0601
464.9487,1139.75,1139.7458
465.2662,1139.20,1139.2003
465.5838,1139.73,1139.7282
465.9013,1140.25,1140.2520
466.2189,1141.11,1141.1129
466.5364,1140.32,1140.3247
466.8539,1140.81,1140.8138
467.1715,1141.00,1141.0044
467.4890,1140.32,1140.3189
467.8065,1140.31,1140.3109
468.1241,1140.55,1140.5536
468.4416,1141.48,1141.4790
468.7592,1141.74,1141.7413
469.0767,1140.95,1140.9509
469.3942,1141.39,1141.3898
469.7118,1141.85,1141.8502
470.0293,1141.59,1141.5890
470.3468,1141.74,1141.7354
470.6644,1141.38,1141.3841
470.9819,1141.10,1141.1047
471.2995,1142.19,1142.1914
471.6170,1142.38,1142.3832
471.9345,1141.93,1141.9275
472.2521,1142.37,1142.3687
472.5696,1141.75,1141.7494
472.8872,1142.94,1142.9394
473.2047,1143.57,1143.5729
473.5222,1142.59,1142.5915
473.8398,1142.98,1142.9774
474.1573,1142.75,1142.7512
474.4748,1143.61,1143.6131
474.7924,1143.43,1143.4282
475.1099,1142.64,1142.6375
475.4275,1143.37,1143.3653
475.7450,1143.26,1143.2640
476.0625,1142.78,1142.7759
476.3801,1143.63,1143.6339
476.6976,1143.77,1143.7698
477.0151,1143.60,1143.6024
477.3327,1142.73,1142.7297
477.6502,1143.64,1143.6415
477.9678,1144.54,1144.5370
478.2853,1144.85,1144.8455
478.6028,1144.61,1144.6089
478.9204,1144.61,1144.6143
479.2379,1144.35,1144.3543
479.5554,1145.19,1145.1884
479.8730,1145.17,1145.1743
480.1905,1145.06,1145.0613
480.5081,1144.15,1144.1460
480.8256,1145.45,1145.4474
481.1431,1145.28,1145.2842
481.4607,1146.36,1146.3562
481.7782,1145.40,1145.4046
482.0957,1144.69,1144.6883
482.4133,1145.77,1145.7687
482.7308,1145.46,1145.4568
483.0484,1145.85,1145.8540
483.3659,1146.26,1146.2553
483.6834,1145.73,1145.7286
484.0010,1145.79,1145.7927
484.3185,1146.48,1146.4848
484.6361,1146.22,1146.2197
484.9536,1146.91,1146.9072
485.2711,1146.86,1146.8631
485.5887,1147.11,1147.1112
485.9062,1146.83,1146.8306
486.2237,1146.51,1146.5118
486.5413,1147.27,1147.2659
486.8588,1146.56,1146.5610
487.1764,1146.75,1146.7478
487.4939,1147.98,1147.9778
487.8114,1147.30,1147.2950
488.1290,1147.96,1147.9640
488.4465,1146.86,1146.8551
488.7640,1147.52,1147.5231
489.0816,1147.39,1147.3877
489.3991,1148.15,1148.1495
489.7167,1147.84,1147.8430
490.0342,1148.70,1148.7035
490.3517,1148.14,1148.1438
490.6693,1148.37,1148.3729
490.9868,1148.57,1148.5709
491.3043,1147.97,1147.9679
491.6219,1148.71,1148.7105
491.9394,1148.28,1148.2848
492.2570,1147.94,1147.9392
492.5745,1149.69,1149.6930
492.8920,1149.61,1149.6133
493.2096,1149.46,1149.4630
493.5271,1149.40,1149.3984
493.8447,1148.85,1148.8460
494.1622,1149.07,1149.0681
494.4797,1149.42,1149.4238
494.7973,1149.80,1149.7971
495.1148,1150.59,1150.5936
495.4323,1149.01,1149.0105
495.7499,1150.05,1150.0504
496.0674,1150.67,1150.6687
496.3850,1151.05,1151.0475
496.7025,1150.77,1150.7732
497.0200,1150.84,1150.8354
497.3376,1151.16,1151.1569
497.6551,1151.11,1151.1051
497.9726,1150.47,1150.4668
498.2902,1150.20,1150.2002
498.6077,1150.78,1150.7842
498.9253,1150.97,1150.9744
499.2428,1152.14,1152.1435
499.5603,1152.20,1152.1955
499.8779,1151.63,1151.6274
500.1954,1151.26,1151.2643
500.5129,1151.94,1151.9376
500.8305,1151.99,1151.9860
501.1480,1151.08,1151.0823
501.4656,1152.14,1152.1446
501.7831,1151.99,1151.9940
502.1006,1151.31,1151.3090
502.4182,1151.48,1151.4842
502.7357,1152.89,1152.8889
503.0532,1152.96,1152.9564
503.3708,1152.54,1152.5364
503.6883,1152.87,1152.8682
504.0059,1151.98,1151.9759
504.3234,1152.51,1152.5059
504.6409,1152.75,1152.7534
504.9585,1153.39,1153.3860
505.2760,1152.93,1152.9329
505.5936,1152.30,1152.2963
505.9111,1153.62,1153.6167
506.2286,1153.53,1153.5252
506.5462,1153.55,1153.5497
506.8637,1153.19,1153.1884
507.1812,1153.83,1153.8323
507.4988,1153.23,1153.2308
507.8163,1154.13,1154.1292
508.1339,1154.30,1154.2962
508.4514,1153.69,1153.6870
508.7689,1154.00,1153.9981
509.0865,1154.64,1154.6387
509.4040,1153.43,1153.4336
509.7215,1153.76,1153.7618
510.0391,1154.71,1154.7079
510.3566,1155.21,1155.2142
510.6742,1155.23,1155.2326
510.9917,1154.35,1154.3510
511.3092,1154.56,1154.5597
511.6268,1154.32,1154.3184
511.9443,1155.06,1155.0622
512.2618,1154.87,1154.8725
512.5794,1155.96,1155.9585
512.8969,1155.10,1155.1049
513.2145,1155.66,1155.6606
513.5320,1155.11,1155.1120
513.8495,1155.35,1155.3461
514.1671,1156.63,1156.6256
514.4846,1155.61,1155.6108
514.8021,1156.10,1156.1027
515.1197,1155.84,1155.8364
515.4372,1155.58,1155.5801
515.7548,1156.42,1156.4191
516.0723,1156.27,1156.2729
516.3898,1156.60,1156.6048
516.7074,1156.15,1156.1480
517.0249,1156.65,1156.6518
517.3425,1156.15,1156.1481
517.6600,1155.91,1155.9093
517.9775,1156.91,1156.9093
518.2951,1157.02,1157.0184
518.6126,1156.70,1156.7010
518.9301,1157.05,1157.0500
519.2477,1158.30,1158.3021
519.5652,1157.86,1157.8596
519.8828,1156.87,1156.8697
520.2003,1157.92,1157.9236
520.5178,1157.90,1157.9021
520.8354,1158.86,1158.8637
521.1529,1158.91,1158.9088
521.4704,1160.11,1160.1089
521.7880,1162.34,1162.3395
522.1055,1163.82,1163.8162
522.4231,1166.36,1166.3611
522.7406,1171.44,1171.4368
523.0581,1177.04,1177.0386
523.3757,1185.29,1185.2926
523.6932,1195.68,1195.6831
524.0107,1210.56,1210.5623
524.3283,1229.46,1229.4623
524.6458,1252.99,1252.9945
524.9634,1285.79,1285.7869
525.2809,1325.34,1325.3441
525.5984,1373.89,1373.8868
525.9160,1435.18,1435.1844
526.2335,1507.14,1507.1425
526.5511,1593.63,1593.6259
526.8686,1695.34,1695.3425
527.1861,1811.92,1811.9248
527.5037,1944.74,1944.7377
527.8212,2092.20,2092.2046
528.1387,2253.13,2253.1349
528.4563,2426.08,2426.0843
528.7738,2607.03,2607.0347
529.0914,2793.29,2793.2888
529.4089,2981.11,2981.1114
529.7264,3164.77,3164.7712
530.0440,3339.89,3339.8938
530.3615,3499.22,3499.2195
530.6790,3638.74,3638.7357
530.9966,3755.13,3755.1290
531.3141,3842.30,3842.2985
531.6317,3897.31,3897.3129
531.9492,3917.08,3917.0845
532.2667,3903.08,3903.0815
532.5843,3855.32,3855.3244
532.9018,3774.77,3774.7747
533.2193,3664.22,3664.2214
533.5369,3529.33,3529.3295
533.8544,3373.08,3373.0828
534.1720,3201.06,3201.0638
534.4895,3018.99,3018.9913
534.8070,2831.23,2831.2282
535.1246,2644.36,2644.3595
535.4421,2461.37,2461.3651
535.7596,2286.57,2286.5708
536.0772,2123.79,2123.7868
536.3947,1972.51,1972.5097
536.7123,1837.10,1837.1006
537.0298,1717.72,1717.7206
537.3473,1612.94,1612.9422
537.6649,1523.36,1523.3565
537.9824,1448.46,1448.4612
538.3000,1385.50,1385.5004
538.6175,1334.00,1333.9961
538.9350,1292.83,1292.8329
539.2526,1259.59,1259.5912
539.5701,1235.42,1235.4245
539.8876,1214.85,1214.8460
540.2052,1198.82,1198.8178
540.5227,1187.87,1187.8703
540.8403,1179.99,1179.9889
541.1578,1173.74,1173.7375
541.4753,1169.60,1169.6043
541.7929,1166.33,1166.3307
542.1104,1163.66,1163.6626
542.4279,1162.21,1162.2104
542.7455,1161.29,1161.2899
543.0630,1160.29,1160.2853
543.3806,1159.31,1159.3060
543.6981,1159.46,1159.4642
544.0156,1158.35,1158.3510
544.3332,1158.92,1158.9187
544.6507,1158.09,1158.0928
544.9682,1158.01,1158.0126
545.2858,1158.38,1158.3831
545.6033,1158.87,1158.8656
545.9209,1156.92,1156.9150
546.2384,1157.80,1157.8045
546.5559,1156.92,1156.9168
546.8735,1157.83,1157.8327
547.1910,1157.06,1157.0569
547.5085,1157.34,1157.3388
547.8261,1157.38,1157.3841
548.1436,1156.37,1156.3717
548.4612,1157.12,1157.1180
548.7787,1156.61,1156.6081
549.0962,1156.31,1156.3139
549.4138,1156.01,1156.0143
549.7313,1156.43,1156.4324
550.0489,1154.34,1154.3351
550.3664,1155.32,1155.3181
550.6839,1155.07,1155.0737
551.0015,1155.15,1155.1479
551.3190,1154.62,1154.6241
551.6365,1154.49,1154.4917
551.9541,1154.26,1154.2633
552.2716,1153.19,1153.1906
552.5892,1153.18,1153.1797
552.9067,1154.42,1154.4226
553.2242,1153.32,1153.3237
553.5418,1153.00,1153.0006
553.8593,1151.23,1151.2335
554.1768,1152.45,1152.4478
554.4944,1151.53,1151.5253
554.8119,1150.84,1150.8427
555.1295,1151.09,1151.0929
555.4470,1150.52,1150.5231
555.7645,1150.07,1150.0741
556.0821,1150.00,1150.0026
556.3996,1148.80,1148.8030
556.7171,1149.30,1149.2996
557.0347,1148.57,1148.5696
557.3522,1148.92,1148.9246
557.6698,1148.04,1148.0426
557.9873,1146.62,1146.6234
558.3048,1147.48,1147.4786
558.6224,1147.46,1147.4574
558.9399,1146.43,1146.4258
559.2574,1145.61,1145.6115
559.5750,1145.37,1145.3689
559.8925,1145.53,1145.5297
560.2101,1144.65,1144.6462
560.5276,1144.41,1144.4112
560.8451,1143.67,1143.6674
561.1627,1143.81,1143.8124
561.4802,1143.34,1143.3374
561.7978,1143.11,1143.1112
562.1153,1142.26,1142.2645
562.4328,1141.83,1141.8347
562.7504,1142.67,1142.6700
563.0679,1141.72,1141.7184
563.3854,1141.57,1141.5711
563.7030,1139.48,1139.4830
564.0205,1139.67,1139.6712
564.3381,1139.36,1139.3572
564.6556,1139.13,1139.1263
564.9731,1137.75,1137.7532
565.2907,1139.08,1139.0784
565.6082,1138.97,1138.9704
565.9257,1137.85,1137.8493
566.2433,1137.65,1137.6478
566.5608,1136.44,1136.4439
566.8784,1136.42,1136.4214
567.1959,1136.62,1136.6231
567.5134,1136.51,1136.5063
567.8310,1135.05,1135.0466
568.1485,1135.36,1135.3595
568.4660,1134.66,1134.6600
568.7836,1134.14,1134.1352
569.1011,1134.26,1134.2630
569.4187,1134.21,1134.2079
569.7362,1132.46,1132.4622
570.0537,1132.06,1132.0573
570.3713,1132.77,1132.7731
570.6888,1131.48,1131.4822
571.0064,1131.51,1131.5081
571.3239,1132.08,1132.0783
571.6414,1132.07,1132.0662
571.9590,1131.10,1131.0972
572.2765,1130.85,1130.8476
572.5940,1129.84,1129.8437
572.9116,1130.97,1130.9702
573.2291,1129.71,1129.7123
573.5467,1129.15,1129.1512
573.8642,1129.95,1129.9511
574.1817,1129.40,1129.4048
574.4993,1129.53,1129.5296
574.8168,1128.32,1128.3233
575.1343,1128.48,1128.4845
575.4519,1128.23,1128.2309
575.7694,1127.84,1127.8368
576.0870,1127.44,1127.4445
576.4045,1127.03,1127.0265
576.7220,1127.64,1127.6411
577.0396,1127.85,1127.8459
577.3571,1127.45,1127.4501
577.6746,1126.90,1126.8952
577.9922,1127.33,1127.3334
578.3097,1127.73,1127.7256
578.6273,1127.19,1127.1888
578.9448,1127.69,1127.6916
579.2623,1127.74,1127.7365
579.5799,1126.85,1126.8545
579.8974,1127.07,1127.0747
580.2149,1126.73,1126.7319
580.5325,1127.54,1127.5351
580.8500,1126.53,1126.5342
581.1676,1127.40,1127.4047
581.4851,1127.53,1127.5300
581.8026,1127.21,1127.2102
582.1202,1127.63,1127.6290
582.4377,1128.00,1128.0023
582.7553,1128.25,1128.2519
583.0728,1127.80,1127.7972
583.3903,1128.29,1128.2857
583.7079,1128.38,1128.3751
584.0254,1128.24,1128.2420
584.3429,1128.52,1128.5205
584.6605,1128.38,1128.3799
584.9780,1128.77,1128.7662
585.2956,1129.29,1129.2875
585.6131,1129.27,1129.2729
585.9306,1129.09,1129.0915
586.2482,1130.38,1130.3834
586.5657,1130.29,1130.2877
586.8832,1129.85,1129.8450
587.2008,1130.18,1130.1847
587.5183,1131.13,1131.1329
587.8359,1131.14,1131.1442
588.1534,1132.41,1132.4092
588.4709,1132.61,1132.6074
588.7885,1131.70,1131.7021
589.1060,1133.07,1133.0699
589.4235,1132.81,1132.8125
589.7411,1134.11,1134.1126
590.0586,1133.34,1133.3359
590.3762,1134.33,1134.3308
590.6937,1135.08,1135.0818
591.0112,1135.28,1135.2756
591.3288,1135.03,1135.0250
591.6463,1136.54,1136.5365
591.9638,1136.62,1136.6233
592.2814,1136.23,1136.2254
592.5989,1137.74,1137.7393
592.9165,1137.83,1137.8342
593.2340,1138.67,1138.6703
593.5515,1138.35,1138.3502
593.8691,1138.99,1138.9899
594.1866,1139.19,1139.1890
594.5042,1139.94,1139.9428
594.8217,1140.78,1140.7805
595.1392,1140.44,1140.4399
595.4568,1140.44,1140.4412
595.7743,1140.84,1140.8432
596.0918,1141.96,1141.9633
596.4094,1142.79,1142.7884
596.7269,1142.35,1142.3497
597.0445,1142.68,1142.6828
597.3620,1143.65,1143.6514
597.6795,1144.89,1144.8858
597.9971,1144.84,1144.8366
598.3146,1145.21,1145.2136
598.6321,1146.39,1146.3869
598.9497,1145.84,1145.8407
599.2672,1146.96,1146.9644
599.5848,1147.55,1147.5460
599.9023,1147.85,1147.8471
600.2198,1147.37,1147.3741
600.5374,1148.89,1148.8928
600.8549,1149.19,1149.1876
601.1724,1149.20,1149.1951
601.4900,1149.81,1149.8113
601.8075,1150.02,1150.0228
602.1251,1150.94,1150.9433
602.4426,1151.94,1151.9436
602.7601,1151.98,1151.9763
603.0777,1152.36,1152.3596
603.3952,1153.50,1153.4992
603.7128,1151.95,1151.9527
604.0303,1153.58,1153.5824
604.3478,1152.81,1152.8134
604.6654,1154.21,1154.2131
604.9829,1154.64,1154.6370
605.3004,1154.71,1154.7096
605.6180,1155.13,1155.1309
605.9355,1155.73,1155.7309
606.2531,1155.68,1155.6757
606.5706,1156.60,1156.6031
606.8881,1156.51,1156.5096
607.2057,1156.65,1156.6475
607.5232,1157.82,1157.8178
607.8407,1157.42,1157.4227
608.1583,1158.45,1158.4518
608.4758,1158.76,1158.7556
608.7934,1158.65,1158.6507
609.1109,1158.12,1158.1208
609.4284,1159.39,1159.3873
609.7460,1158.65,1158.6481
610.0635,1160.01,1160.0092
610.3810,1160.52,1160.5157
610.6986,1160.21,1160.2060
611.0161,1161.01,1161.0098
611.3337,1161.08,1161.0832
611.6512,1161.11,1161.1072
611.9687,1162.06,1162.0567
612.2863,1162.10,1162.1024
612.6038,1161.92,1161.9194
612.9213,1161.93,1161.9258
613.2389,1162.54,1162.5379
613.5564,1162.70,1162.6965
613.8740,1162.70,1162.7023
614.1915,1162.76,1162.7634
614.5090,1163.16,1163.1634
614.8266,1163.33,1163.3313
615.1441,1162.87,1162.8665
615.4617,1163.53,1163.5316
615.7792,1164.23,1164.2267
616.0967,1164.63,1164.6288
616.4143,1164.69,1164.6894
616.7318,1164.53,1164.5342
617.0493,1164.83,1164.8307
617.3669,1165.73,1165.7276
617.6844,1165.09,1165.0918
618.0020,1165.40,1165.4048
618.3195,1165.20,1165.2003
618.6370,1166.44,1166.4367
618.9546,1165.21,1165.2056
619.2721,1165.46,1165.4563
619.5896,1165.76,1165.7626
619.9072,1165.88,1165.8834
620.2247,1165.22,1165.2155
620.5423,1165.70,1165.6992
620.8598,1166.45,1166.4479
621.1773,1166.61,1166.6123
621.4949,1166.32,1166.3172
621.8124,1166.61,1166.6074
622.1299,1166.27,1166.2657
622.4475,1166.70,1166.6960
622.7650,1166.63,1166.6329
623.0826,1167.16,1167.1618
623.4001,1167.00,1166.9982
623.7176,1166.54,1166.5424
624.0352,1167.36,1167.3603
624.3527,1167.13,1167.1318
624.6702,1167.46,1167.4576
624.9878,1166.33,1166.3294
625.3053,1167.76,1167.7556
625.6229,1167.25,1167.2491
625.9404,1166.49,1166.4905
626.2579,1167.13,1167.1347
626.5755,1167.15,1167.1490
